# свод	GENESIS-FULL.txt
# sha256	62ee7f2cd6027879fbb8c8c00b4c835f40d13ab78bbad47ff46d4448aa1431c3
# строк непустых	461853
# язык назван	328523
# доля от непустых	71.1
# имён от домов (построчно)	222624
# имён от манифеста (на мир)	0
# имён от пакета языка (пласты)	105899
# языков различных	29
# крупнейшие	ru 56953, en 55406, de 27177, es 23643, pt 20929, it 20888, fr 20731, nl 19359, pl 18489, sw 5878, zh 5577, tr 4712
# столбцы	номер строки файла (с единицы, пустые считаются)	язык
# номера — ТЕ ЖЕ, что в GENESIS-FULL.genera.tsv
1	ru
2	ru
3	ru
4	ru
5	ru
6	ru
7	ru
8	ru
9	ru
10	ru
11	ru
12	ru
13	ru
14	ru
15	ru
16	ru
18	ru
19	ru
20	ru
21	ru
22	ru
23	ru
24	ru
25	ru
26	ru
27	ru
28	ru
29	ru
30	ru
31	ru
32	ru
33	ru
34	ru
35	ru
37	en
38	en
39	en
40	en
41	en
42	en
43	en
44	en
45	en
46	en
47	en
48	en
49	en
50	en
51	en
52	en
54	en
55	en
56	en
57	en
58	en
59	en
60	en
61	en
62	en
63	en
64	en
65	en
66	en
67	en
68	en
69	en
70	en
71	en
73	ru
74	ru
75	ru
76	ru
77	ru
78	ru
79	ru
80	ru
81	ru
82	ru
83	ru
84	ru
85	ru
86	ru
87	ru
88	ru
90	ru
91	ru
92	ru
93	ru
94	ru
95	ru
96	ru
97	ru
98	ru
99	ru
100	ru
101	ru
102	ru
103	ru
104	ru
105	ru
106	ru
107	ru
109	en
110	en
111	en
112	en
113	en
114	en
115	en
116	en
117	en
118	en
119	en
120	en
121	en
122	en
123	en
124	en
126	en
127	en
128	en
129	en
130	en
131	en
132	en
133	en
134	en
135	en
136	en
137	en
138	en
139	en
140	en
141	en
142	en
143	en
145	ru
146	ru
147	ru
148	ru
149	ru
150	ru
151	ru
152	ru
153	ru
154	ru
155	ru
156	ru
157	ru
158	ru
159	ru
160	ru
162	ru
163	ru
164	ru
165	ru
166	ru
167	ru
168	ru
169	ru
170	ru
171	ru
172	ru
173	ru
174	ru
175	ru
176	ru
177	ru
178	ru
179	ru
181	en
182	en
183	en
184	en
185	en
186	en
187	en
188	en
189	en
190	en
191	en
192	en
193	en
194	en
195	en
196	en
198	en
199	en
200	en
201	en
202	en
203	en
204	en
205	en
206	en
207	en
